beach_id,grad,udaljenost_km
281,Crikvenica,4.39
282,Crikvenica,2.49
283,Crikvenica,2.84
284,Crikvenica,3.36
285,Dobrinj,2.96
286,Dobrinj,3.19
287,Dobrinj,2.35
288,Kostrena,1.97
289,Kostrena,0.91
290,Kostrena,1.33
291,Kostrena,2.07
292,Kraljevica,1.19
293,Kraljevica,0.67
294,Kraljevica,0.97
295,Kraljevica,0.8
296,Kraljevica,0.85
297,Kraljevica,2.3
298,Kraljevica,2.4
299,Krk,8.14
300,Krk,8.29
301,Krk,7.85
302,Krk,7.71
303,Krk,7.98
304,Krk,8.33
305,Krk,7.85
306,Krk,7.55
307,Krk,8.02
308,Krk,8.6
309,Krk,8.69
310,Krk,8.01
311,Lopar,2.0
312,Lopar,1.66
313,Lopar,1.39
314,Lopar,1.91
315,Lovran,0.7
316,Lovran,0.56
317,Lovran,1.42
318,Lovran,0.27
319,Lovran,2.38
320,Lovran,3.15
321,Lovran,0.57
322,Lovran,0.24
323,Mali Lošinj,10.73
324,Mali Lošinj,10.54
325,Mali Lošinj,9.96
326,Mali Lošinj,7.09
327,Mali Lošinj,6.53
328,Mali Lošinj,13.03
329,Mali Lošinj,12.22
330,Mali Lošinj,9.45
331,Mali Lošinj,10.93
332,Mali Lošinj,14.06
333,Mali Lošinj,7.59
334,Mali Lošinj,6.67
335,Mali Lošinj,5.01
336,Mali Lošinj,4.4
337,Mali Lošinj,6.96
338,Mali Lošinj,6.35
339,Mali Lošinj,6.01
340,Mali Lošinj,5.78
341,Mali Lošinj,5.61
342,Mali Lošinj,5.58
343,Mali Lošinj,6.21
344,Mali Lošinj,9.13
345,Mali Lošinj,4.26
346,Mali Lošinj,4.35
347,Mali Lošinj,4.87
348,Mali Lošinj,4.71
349,Mali Lošinj,9.68
350,Mali Lošinj,5.77
351,Malinska,0.41
352,Malinska,0.2
353,Malinska,0.77
354,Malinska,0.78
355,Malinska,2.21
356,Malinska,1.58
357,Malinska,1.24
358,Malinska,1.02
359,Malinska,1.71
360,Mošćenička Draga,0.17
361,Mošćenička Draga,0.28
362,Mošćenička Draga,0.45
363,Novi Vinodolski,1.07
364,Novi Vinodolski,5.24
365,Novi Vinodolski,10.25
366,Novi Vinodolski,1.34
367,Novi Vinodolski,0.69
368,Novi Vinodolski,2.85
369,Novi Vinodolski,2.63
370,Novi Vinodolski,11.51
371,Novi Vinodolski,6.74
372,Novi Vinodolski,0.41
373,Novi Vinodolski,2.0
374,Omišalj,2.31
