beach_id,marina_id,udaljenost_km
22,node/4252915096,0.99
23,node/431088510,9.81
23,node/579792962,5.07
23,node/579794631,2.73
23,node/673411579,0.48
23,node/1860020712,9.77
23,node/2951332985,3.85
23,node/12409171546,5.32
24,node/579792962,4.97
24,node/579794631,3.01
24,node/673411579,0.24
24,node/2951332985,3.18
24,node/12409171546,6.01
25,node/418342927,6.78
25,node/2008968277,8.58
25,node/11483245295,8.43
26,node/1394720950,9.66
26,node/1599814456,3.9
26,node/10280266203,0.69
27,node/1394720950,9.05
27,node/1599814456,3.26
27,node/10280266203,0.14
28,node/1394720950,9.75
28,node/1599814456,3.96
28,node/10280266203,0.65
29,node/1747950843,5.09
30,node/1747950843,5.26
31,node/418342927,5.51
32,node/418342927,5.42
33,node/418342927,5.49
34,node/418342927,5.48
35,node/2008968277,4.81
35,node/11483245295,4.67
35,node/11833156908,9.38
36,node/11469851119,9.84
38,node/418342927,0.62
39,node/418342927,1.29
40,node/418342927,1.84
41,node/418342927,1.23
42,node/497549320,3.43
42,node/517872826,7.69
42,node/517904544,8.19
42,node/1449508274,7.17
42,node/4262750427,3.94
42,node/13507759987,9.63
43,node/497549320,3.85
43,node/517872826,8.12
43,node/517904544,8.63
43,node/1449508274,7.6
43,node/4262750427,4.21
44,node/431088510,9.82
44,node/497549320,3.11
44,node/517872826,7.38
44,node/517904544,7.89
44,node/1449508274,6.86
44,node/4262750427,3.67
44,node/13507759987,9.32
45,node/579792962,8.4
45,node/2951332985,7.68
46,node/2951332985,9.26
48,node/1599814456,8.59
48,node/10280266203,5.26
48,node/11469851119,9.84
49,node/1599814456,8.06
49,node/10280266203,4.72
50,node/1599814456,8.71
50,node/10280266203,5.38
50,node/11469851119,9.66
51,node/11469851119,9.79
52,node/418342927,9.5
52,node/2008968277,5.89
52,node/11483245295,5.74
53,node/418342927,9.07
53,node/2008968277,6.29
53,node/11483245295,6.15
54,node/418342927,8.9
54,node/2008968277,6.47
54,node/11483245295,6.32
55,node/1747950843,4.71
56,node/1747950843,4.55
57,node/1747950843,4.65
58,node/1747950843,4.96
59,node/1747950843,4.62
60,node/1394720950,4.41
60,node/2008968277,3.0
60,node/11483245295,3.15
60,node/11833156908,1.87
61,node/1394720950,4.68
61,node/2008968277,2.09
61,node/11483245295,2.24
61,node/11833156908,2.65
62,node/1394720950,4.52
62,node/2008968277,2.07
62,node/11483245295,2.22
62,node/11833156908,2.91
63,node/1394720950,4.48
63,node/2008968277,2.51
63,node/11483245295,2.66
63,node/11833156908,2.24
64,node/1394720950,4.0
64,node/1599814456,9.79
64,node/2008968277,2.62
64,node/11483245295,2.77
64,node/11833156908,2.34
65,node/1394720950,3.37
65,node/1599814456,9.13
65,node/2008968277,3.4
65,node/11483245295,3.56
65,node/11833156908,1.5
